2020-09-18-11-03: epoch: 1 |loss 5.322281 | hm_loss 0.111127 | wh_loss 1.348533 | off_loss 0.068797 | id_loss 4.202122 | time 7.116667 | 
2020-09-18-11-10: epoch: 2 |loss 3.996764 | hm_loss 0.105796 | wh_loss 1.322246 | off_loss 0.067668 | id_loss 3.517943 | time 6.850000 | 
2020-09-18-11-17: epoch: 3 |loss 3.228188 | hm_loss 0.103847 | wh_loss 1.275622 | off_loss 0.067651 | id_loss 3.138939 | time 6.700000 | 
2020-09-18-11-23: epoch: 4 |loss 2.615417 | hm_loss 0.087519 | wh_loss 1.198541 | off_loss 0.066897 | id_loss 2.854931 | time 6.683333 | 
2020-09-18-11-30: epoch: 5 |loss 2.249259 | hm_loss 0.093582 | wh_loss 1.210287 | off_loss 0.067399 | id_loss 2.662614 | time 6.766667 | 
2020-09-18-11-37: epoch: 6 |loss 1.861449 | hm_loss 0.082887 | wh_loss 1.181347 | off_loss 0.067732 | id_loss 2.454201 | time 6.850000 | 
2020-09-18-11-44: epoch: 7 |loss 1.552101 | hm_loss 0.078586 | wh_loss 1.137086 | off_loss 0.066883 | id_loss 2.272237 | time 6.800000 | 
2020-09-18-11-51: epoch: 8 |loss 1.267047 | hm_loss 0.069115 | wh_loss 1.081286 | off_loss 0.066009 | id_loss 2.092316 | time 6.766667 | 
2020-09-18-11-57: epoch: 9 |loss 1.082904 | hm_loss 0.069417 | wh_loss 1.115219 | off_loss 0.066659 | id_loss 1.943472 | time 6.816667 | 
2020-09-18-12-04: epoch: 10 |loss 0.894508 | hm_loss 0.062772 | wh_loss 1.070378 | off_loss 0.065962 | id_loss 1.805145 | time 6.766667 | 
2020-09-18-12-11: epoch: 11 |loss 0.805449 | hm_loss 0.070967 | wh_loss 1.085627 | off_loss 0.065375 | id_loss 1.717519 | time 6.816667 | 
2020-09-18-12-18: epoch: 12 |loss 0.593269 | hm_loss 0.059562 | wh_loss 0.973408 | off_loss 0.064483 | id_loss 1.523542 | time 6.733333 | 
2020-09-18-12-25: epoch: 13 |loss 0.439197 | hm_loss 0.047611 | wh_loss 0.915192 | off_loss 0.063376 | id_loss 1.376249 | time 6.750000 | 
2020-09-18-12-31: epoch: 14 |loss 0.351033 | hm_loss 0.044696 | wh_loss 0.923070 | off_loss 0.063740 | id_loss 1.256992 | time 6.783333 | 
2020-09-18-12-38: epoch: 15 |loss 0.297194 | hm_loss 0.047108 | wh_loss 0.920791 | off_loss 0.063907 | id_loss 1.165953 | time 6.766667 | 
2020-09-18-12-45: epoch: 16 |loss 0.085578 | hm_loss 0.035010 | wh_loss 0.641686 | off_loss 0.060498 | id_loss 0.966595 | time 6.750000 | 
